"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"mhealth_relative_total","numeric",2264,0,2.17623674911661,2.19374049628653,0,0,2,3,12,12,"0"
"mhealth_relative_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"phealth_self_total","numeric",2264,0,0.103356890459364,0.361549231700499,0,0,0,0,3,4,"0"
"phealth_self_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
"phealth_firstdegree_total","numeric",2264,0,0.717756183745583,0.890527109944151,0,0,0,1,4,5,"0"
"phealth_firstdegree_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
"phealth_2nddegree_total","numeric",2264,0,1.40945229681979,1.20857112085012,0,0,1,2,4,5,"0"
"phealth_2nddegree_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"phealth_relative_total","numeric",2264,0,2.12720848056537,1.51751651279048,0,1,2,3,8,9,"2"
"phealth_relative_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"education_levels","factor",1575,689,NA,NA,NA,NA,NA,NA,NA,6,"Completed 4 year college"
"education_levels_noanswer","factor",1580,684,NA,NA,NA,NA,NA,NA,NA,7,"Completed 4 year college"
"highesteducation_mths","factor",1575,689,NA,NA,NA,NA,NA,NA,NA,3,"1"
"gender_collapsed","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,3,"Female"
"organized_religion_collapseChristianity","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,3,"Christianity"
"ethnicityv_p_refw","factor",2000,264,NA,NA,NA,NA,NA,NA,NA,11,"Black/African American"
"highest_ed_recoded_factor","factor",1994,270,NA,NA,NA,NA,NA,NA,NA,5,"4 years of college"
"highest_ed_recoded_factor_ref4y","factor",1994,270,NA,NA,NA,NA,NA,NA,NA,5,"4 years of college"
"highest_ed_recoded_currentcoded_factor","factor",1986,278,NA,NA,NA,NA,NA,NA,NA,4,"Less than 4 years of college"
"highest_ed_recoded_currentcoded_factor_ref4y","factor",1986,278,NA,NA,NA,NA,NA,NA,NA,4,"Less than 4 years of college"
