"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"medical_condition_8_3","haven_labelled",174,1826,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_4","haven_labelled",1747,253,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_1","haven_labelled",114,1886,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_2","haven_labelled",414,1586,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_3","haven_labelled",488,1512,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_4","haven_labelled",1233,767,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_1","haven_labelled",184,1816,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_2","haven_labelled",188,1812,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_3","haven_labelled",162,1838,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_4","haven_labelled",1601,399,1,0,1,1,1,1,1,1,"1"
"q1_1","haven_labelled",2000,0,3.9745,0.232113524690338,1,4,4,4,4,4,"4"
"pswq_1","haven_labelled",2000,0,2.5775,1.13870192369887,1,2,2,3,5,5,"2"
"pswq_2","haven_labelled",2000,0,2.8555,1.24233306553551,1,2,3,4,5,5,"3"
"pswq_3","haven_labelled",2000,0,2.3495,1.20792354461896,1,1,2,3,5,5,"1"
"pswq_4","haven_labelled",2000,0,2.988,1.24644808010932,1,2,3,4,5,5,"3"
"pswq_5","haven_labelled",2000,0,3.0485,1.30728812857976,1,2,3,4,5,5,"4"
"pswq_6","haven_labelled",2000,0,3.2305,1.26062061389067,1,2,3,4,5,5,"4"
"pswq_7","haven_labelled",2000,0,2.84,1.32373567530268,1,2,3,4,5,5,"3"
"pswq_8","haven_labelled",2000,0,2.574,1.22730482707813,1,2,2,4,5,5,"2"
"pswq_9","haven_labelled",2000,0,2.7605,1.25376461620849,1,2,3,4,5,5,"3"
"pswq_10","haven_labelled",2000,0,1.7965,1.09255873631405,1,1,1,2,5,5,"1"
"pswq_11","haven_labelled",1999,1,2.68784392196098,1.24706153261094,1,2,3,4,5,5,"2"
"pswq_12","haven_labelled",2000,0,2.9005,1.44140159889069,1,2,3,4,5,5,"1"
"pswq_13","haven_labelled",1999,1,3.06253126563282,1.29548063125772,1,2,3,4,5,5,"4"
"pswq_14","haven_labelled",2000,0,2.6485,1.29953535776178,1,1,3,4,5,5,"1"
"pswq_15","haven_labelled",2000,0,2.6235,1.34039026892787,1,1,3,4,5,5,"1"
"pswq_16","haven_labelled",2000,0,3.148,1.24010682300608,1,2,3,4,5,5,"3"
"pswq_1r","numeric",2000,0,3.4225,1.13870192369887,1,3,4,4,5,5,"4"
"pswq_3r","numeric",2000,0,3.6505,1.20792354461896,1,3,4,5,5,5,"5"
"pswq_8r","numeric",2000,0,3.426,1.22730482707813,1,2,4,4,5,5,"4"
"pswq_10r","numeric",2000,0,4.2035,1.09255873631405,1,4,5,5,5,5,"5"
"pswq_11r","numeric",1999,1,3.31215607803902,1.24706153261094,1,2,3,4,5,5,"4"
"miss_items_pswq","numeric",2000,0,0.001,0.0316148659632607,0,0,0,0,1,2,"0"
